	Expansions	Genes	Gained	Equal	Contractions	Genes	Lost	Families	Lost	Average	Expansion	Sig	Expansions	Sig	Contractions	Total	Sig	Changes
FRAX08<12>	139	152	6121	1874	1898	1746	-0.214655	10	17	27
<33>	10	10	7809	315	315	299	-0.0374969	7	215	222
FRAX25<26>	110	120	5977	2047	2075	1894	-0.240349	4	18	22
<25>	13	13	7823	298	298	275	-0.0350381	12	165	177
<19>	20	20	7956	158	158	133	-0.0169658	17	0	17
<21>	33	34	7941	160	162	138	-0.0157364	27	2	29
<27>	9	9	7850	275	275	272	-0.0327022	8	0	8
<31>	34	38	7469	631	635	569	-0.0733956	25	4	29
<23>	15	16	7631	488	488	481	-0.058028	13	360	373
FRAX15<18>	88	92	6756	1290	1308	1195	-0.149496	32	18	50
<35>	26	26	7960	148	150	125	-0.0152447	19	2	21
<37>	7	7	7809	318	322	284	-0.0387263	6	194	200
empty<58>	0	0	8134	0	0	0	0	0	0	0
FRAX32<2>	98	104	7410	626	634	549	-0.0651586	75	7	82
FRAX21<28>	129	139	5749	2256	2284	2100	-0.263708	8	0	8
FRAX33<52>	115	126	6666	1353	1370	1260	-0.152938	63	12	75
Oeuropea<56>	1175	1359	6105	854	877	670	0.0592574	71	1	72
FRAX26<46>	114	121	7556	464	472	413	-0.0431522	77	7	84
<5>	29	29	7768	337	337	296	-0.0378657	21	0	21
FRAX16<16>	73	79	6854	1207	1224	1100	-0.140767	58	17	75
<3>	39	40	7915	180	180	148	-0.0172117	32	0	32
<47>	18	18	7418	698	701	652	-0.0839685	14	3	17
FRAX23<24>	60	63	6798	1276	1290	1151	-0.150848	43	10	53
FRAX31<54>	117	126	6091	1926	1934	1887	-0.222277	8	0	8
<11>	35	36	7700	399	399	385	-0.0446275	31	202	233
FRAX01<14>	98	101	7436	600	606	539	-0.0620851	77	6	83
FRAX09<42>	159	162	7578	397	413	331	-0.0308581	115	223	338
FRAX19<30>	197	220	7464	473	477	424	-0.0315958	89	3	92
<13>	29	30	8030	75	75	61	-0.00553233	27	0	27
FRAX12<6>	119	131	6529	1486	1507	1371	-0.169166	76	16	92
<49>	50	56	7933	151	152	125	-0.0118023	43	1	44
<17>	36	39	7609	489	490	455	-0.0554463	35	0	35
<43>	23	24	7968	143	143	129	-0.0146299	19	0	19
<15>	11	13	7838	285	286	245	-0.0335628	8	1	9
<41>	21	22	7933	180	180	152	-0.0194246	16	129	145
FRAX14<48>	61	64	7084	989	1009	893	-0.116179	49	18	67
FRAX29<10>	215	233	6646	1273	1286	1180	-0.129457	92	11	103
<9>	28	30	7718	388	388	369	-0.0440128	23	290	313
FRAX07<8>	147	152	7430	557	566	455	-0.0508975	83	7	90
FRAX00<20>	271	294	7146	717	742	598	-0.0550775	142	12	154
FRAX05<50>	201	212	6452	1481	1490	1390	-0.157118	93	9	102
FRAX20<32>	109	111	6577	1448	1476	1335	-0.167814	66	25	91
<45>	22	23	8038	74	75	51	-0.00639292	21	1	22
<55>	313	333	7821	0	0	0	0.0409393	12	0	12
FRAX30<0>	106	115	7318	710	722	628	-0.074625	78	12	90
<53>	1	1	8133	0	0	0	0.000122941	0	0	0
FRAX27<36>	97	105	7215	822	829	745	-0.0890091	63	7	70
<51>	22	24	7819	293	294	271	-0.033194	16	1	17
FRAX04<38>	81	84	6828	1225	1240	1128	-0.142119	50	13	63
FRAX13<44>	105	115	6669	1360	1373	1263	-0.154659	78	11	89
<1>	28	30	7750	356	362	312	-0.0408163	21	228	249
FRAX03<40>	102	112	6741	1291	1318	1201	-0.148267	74	790	864
FRAX11<34>	118	121	7659	357	365	312	-0.0299975	81	7	88
<7>	49	51	8024	61	61	57	-0.00122941	42	0	42
<29>	113	127	7789	232	232	214	-0.0129088	9	0	9
FRAX28<4>	111	115	7048	975	984	880	-0.106836	72	9	81
FRAX06<22>	113	125	7500	521	537	440	-0.0506516	74	10	84
<39>	45	46	7722	367	367	344	-0.039464	33	0	33

CAFE	labeled	tree:	(((((((((((FRAX30<0>,FRAX32<2>)<1>,FRAX28<4>)<3>,FRAX12<6>)<5>,(FRAX07<8>,FRAX29<10>)<9>)<7>,FRAX08<12>)<11>,(((((FRAX01<14>,FRAX16<16>)<15>,FRAX15<18>)<17>,FRAX00<20>)<19>,(FRAX06<22>,FRAX23<24>)<23>)<21>,FRAX25<26>)<25>)<13>,FRAX21<28>)<27>,(((FRAX19<30>,FRAX20<32>)<31>,((FRAX11<34>,FRAX27<36>)<35>,FRAX04<38>)<37>)<33>,(((((FRAX03<40>,FRAX09<42>)<41>,FRAX13<44>)<43>,(FRAX26<46>,FRAX14<48>)<47>)<45>,FRAX05<50>)<49>,FRAX33<52>)<51>)<39>)<29>,FRAX31<54>)<53>,Oeuropea<56>)<55>,empty<58>)<57>
