Family ID	FRAX00	FRAX01	FRAX03	FRAX04	FRAX05	FRAX06	FRAX07	FRAX08	FRAX09	FRAX11	FRAX12	FRAX13	FRAX14	FRAX15	FRAX16	FRAX19	FRAX20	FRAX21	FRAX23	FRAX25	FRAX26	FRAX27	FRAX28	FRAX29	FRAX30	FRAX31	FRAX32	FRAX33	Oeuropea
10001636	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2
10001637	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	3	4	3	3	3	3	2	3	3	3
10001642	2	2	2	2	2	1	2	2	2	1	2	2	2	2	1	2	2	2	1	1	3	2	2	2	2	2	2	2	2
10001648	3	4	2	3	3	4	4	2	3	3	2	3	3	3	2	3	3	3	3	3	3	3	3	4	3	3	3	2	3
10001655	2	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	3	2	3	3	3	3	3	3	3	3	3	4	3
10001656	3	4	2	3	3	3	3	3	3	3	3	3	3	4	2	3	3	3	4	4	3	3	2	2	3	2	3	4	3
10001666	2	2	4	4	4	3	3	2	4	3	3	3	3	3	2	3	4	4	2	2	3	3	3	3	5	3	4	4	2
10001674	1	3	3	1	3	3	3	4	5	3	4	2	3	2	3	3	3	2	3	3	3	3	4	3	3	3	3	2	4
10001676	3	3	2	2	2	3	1	2	3	3	1	3	2	2	1	3	2	1	2	1	3	2	2	2	1	3	1	3	2
10001685	3	3	3	4	2	3	3	3	3	3	3	3	3	3	3	2	2	3	3	3	3	3	3	3	2	3	3	2	3
10001697	1	2	1	2	1	1	1	3	1	2	3	1	2	2	2	1	2	2	2	1	1	2	2	1	2	1	3	1	1
10001709	2	0	0	0	0	2	2	0	2	2	1	0	1	1	0	2	2	1	1	0	1	0	1	1	1	1	1	1	2
10001711	1	1	0	2	1	1	1	3	0	1	2	0	2	2	3	0	3	2	2	3	1	2	1	3	1	1	0	0	1
10001740	2	1	5	2	4	3	3	4	5	2	8	6	2	1	2	2	2	4	2	1	4	0	4	4	3	2	3	3	1
10001741	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	2	3	3	3	3	4	3	3	2	3	3	3	2
10001742	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2
10001753	2	1	0	1	2	1	2	0	2	2	1	2	2	2	1	2	2	2	1	1	2	1	2	2	2	2	1	1	2
10001757	3	3	3	2	3	2	3	2	2	3	1	3	2	3	3	7	4	4	2	4	2	3	3	3	3	5	3	4	2
10001764	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	1	0	2
10001765	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3
10001766	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	1	2	2
10001774	2	1	1	1	1	2	1	0	2	2	0	2	1	0	1	2	0	1	0	2	2	0	2	1	1	2	0	1	1
10001778	5	3	3	1	4	4	3	3	3	2	3	3	2	4	2	2	2	3	4	3	2	2	3	3	3	3	3	4	2
10001780	1	1	1	2	1	1	1	1	1	1	1	1	1	2	2	1	1	1	2	1	1	1	2	1	1	2	1	1	2
10001802	3	3	3	3	3	3	3	3	3	3	3	3	2	3	3	3	3	2	3	3	3	3	3	3	3	3	3	3	3
10001809	3	2	3	3	3	3	3	3	4	3	3	3	2	3	3	4	3	3	3	3	3	3	3	3	3	4	3	3	2
10001816	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	1	2	2	2
10001852	1	2	2	0	1	2	1	1	0	0	0	1	2	1	1	1	1	1	2	1	2	0	2	1	2	1	2	2	2
10001858	1	2	0	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	0	1	1	1	1	2	1	1	1	1	1
10001869	2	2	2	2	3	2	1	2	2	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	2
10001877	3	2	3	3	3	3	3	3	3	3	2	3	3	3	2	3	2	2	3	3	3	2	3	3	3	2	3	4	3
10001883	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	2	1	2	1	1	2	2	2	1	2	1	1	2	2
10001902	3	3	4	2	3	3	4	3	3	4	3	3	3	3	3	3	2	2	3	2	3	3	3	3	3	2	3	2	2
10001922	2	2	3	3	5	3	3	2	4	4	3	4	3	2	2	5	3	2	2	2	2	4	3	1	3	3	3	4	2
10001930	2	3	3	2	2	2	3	3	3	3	3	3	2	3	3	3	2	3	3	3	3	3	3	3	4	3	3	3	2
10001935	2	3	2	3	3	3	3	3	2	3	4	2	3	3	3	3	3	2	3	3	4	2	4	3	3	2	4	2	3
10001939	2	3	2	3	2	3	3	2	3	3	1	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3	5
10001948	3	3	1	3	3	3	3	1	3	4	2	3	2	3	2	2	2	3	3	2	3	4	3	3	3	2	3	3	2
10001950	1	0	1	1	1	1	1	0	0	1	1	1	1	0	0	1	0	1	1	0	1	1	1	0	0	0	0	1	2
10001954	2	2	2	2	2	2	2	2	2	2	1	1	2	1	2	1	1	1	2	2	2	1	2	2	1	1	2	2	2
10001959	3	3	3	2	3	3	3	3	3	3	3	3	3	2	3	3	3	1	2	3	3	3	3	3	3	3	3	3	3
10001967	2	3	2	2	3	2	2	3	3	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3	5
10001970	2	2	1	1	1	2	2	2	1	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	1	2	2	2
10001981	2	1	1	2	1	2	1	2	2	2	2	2	1	2	2	1	1	1	1	1	2	1	2	1	2	2	2	2	2
10001997	2	2	1	2	2	2	2	2	2	2	2	1	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2
10002002	2	1	1	0	1	2	1	1	1	1	1	1	1	1	2	1	1	1	0	2	1	1	1	1	1	2	1	1	3
10002007	2	2	4	3	3	4	3	3	5	2	3	2	1	3	3	3	1	3	3	2	4	3	3	2	4	0	4	2	6
10002016	3	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	2	4	3	1	3	3	3	3
10002021	3	3	3	3	3	3	3	3	3	3	3	3	3	2	2	3	3	3	3	4	3	3	3	4	3	3	1	3	1
10002028	2	2	1	2	1	2	1	1	1	2	1	1	1	2	2	2	2	2	1	1	1	2	2	1	1	1	2	1	1
10002030	3	3	3	3	2	3	3	3	2	3	3	3	3	3	2	3	3	3	2	3	3	2	3	3	3	3	3	3	2
10002035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2
10002036	2	2	1	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	1	1	2	2	2	2	2	2	2	2
10002060	1	2	2	1	2	2	2	2	2	2	1	2	2	2	2	2	1	2	2	2	2	2	2	1	1	2	1	2	2
10002065	3	3	3	3	3	3	3	3	3	3	3	3	2	2	4	3	3	3	2	3	3	3	3	3	3	0	3	3	2
10002070	1	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2
10002093	3	3	4	1	3	3	3	1	3	2	4	1	1	3	4	3	3	4	3	3	1	1	2	4	4	2	4	3	4
10002116	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	2	3	3	3	3	3	3	3	1	3	3	3	2	2
10002133	3	2	3	3	3	3	3	3	3	3	3	3	3	2	2	3	3	3	3	2	2	3	3	3	3	3	3	3	2
10002139	2	3	2	1	1	3	3	2	2	2	1	2	1	1	2	3	2	0	2	1	2	2	2	1	2	2	1	2	2
10002155	2	2	2	1	2	1	2	2	2	2	1	1	1	2	2	1	2	2	2	2	2	2	2	2	2	1	2	2	2
10002157	3	3	1	3	3	2	4	3	3	3	3	3	3	2	2	3	3	3	2	3	3	3	2	3	2	3	3	3	2
10002164	2	3	3	3	3	3	2	3	2	3	3	3	3	3	3	3	3	2	3	1	3	2	3	3	3	3	3	3	3
10002169	2	2	3	3	3	3	2	3	3	3	3	3	3	2	2	3	3	2	3	3	3	3	3	2	3	3	3	3	2
10002180	3	3	4	3	4	2	3	2	4	3	3	3	3	2	1	3	3	2	3	1	2	3	3	3	4	3	4	2	2
10002182	2	2	1	0	1	2	1	0	2	2	1	2	2	1	1	2	1	1	1	1	2	2	0	1	0	2	2	2	2
10002183	2	2	2	1	2	2	2	0	2	2	1	1	1	2	2	2	1	1	1	1	1	1	2	1	1	2	1	2	2
10002197	2	2	2	1	2	2	2	2	1	2	2	2	2	2	1	2	1	1	2	1	2	2	2	1	2	2	2	2	3
10002204	3	3	3	3	3	3	3	3	3	3	3	3	3	2	2	3	2	3	3	2	3	3	3	3	3	3	3	3	2
10002206	3	1	3	3	3	3	3	3	3	3	3	3	3	2	2	3	2	3	2	3	3	3	3	2	3	3	2	3	3
10002209	3	2	3	3	3	4	3	3	2	2	2	3	3	1	3	3	2	3	3	3	3	2	3	3	3	2	2	3	4
10002232	3	2	3	2	3	3	3	3	3	3	3	3	2	2	2	3	3	3	3	2	3	3	2	3	3	3	3	3	2
10002238	0	1	2	0	0	0	0	1	0	0	0	1	1	0	0	3	0	0	0	1	0	0	1	0	2	0	0	2	1
10002239	1	2	0	1	0	2	1	0	0	0	0	0	0	1	3	0	1	0	1	1	0	0	0	1	2	2	2	1	1
10002249	3	3	2	2	3	4	3	3	3	2	3	3	2	2	2	2	3	2	4	2	2	2	3	4	3	2	3	4	3
10002254	3	3	3	3	3	3	3	3	3	3	2	2	3	3	2	3	3	2	2	3	3	3	3	2	2	3	2	3	4
10002255	2	1	1	2	2	2	6	5	2	2	4	2	2	2	1	3	2	1	2	1	2	2	7	2	8	2	6	2	2
10002260	3	2	3	3	3	3	3	3	4	3	4	2	3	1	3	1	2	3	3	2	3	2	3	3	3	3	3	3	2
10002261	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	1	2	2	2	1	2	2	2	2	2	1	2
10002265	2	2	1	0	2	2	2	2	2	2	2	2	1	2	2	2	1	1	2	2	2	2	2	2	2	2	2	1	2
10002273	3	3	3	2	3	3	3	2	3	2	1	3	3	3	3	3	2	3	2	3	3	2	2	3	2	3	3	3	2
10002275	3	3	3	3	3	3	2	3	3	3	2	2	3	3	3	3	3	2	3	2	3	3	3	2	3	2	3	3	2
10002278	3	3	3	3	3	3	3	3	3	3	3	3	2	3	2	3	3	3	1	3	3	3	3	3	2	3	3	2	2
10002302	2	2	2	2	2	2	2	3	1	2	2	1	1	2	2	2	1	2	1	2	1	1	2	3	1	2	1	2	2
10002315	2	2	2	2	2	2	2	2	0	2	2	1	2	0	2	1	1	2	2	2	2	2	2	2	2	2	2	1	3
10002320	2	1	2	1	2	2	2	1	2	2	2	2	1	2	1	2	2	2	1	2	1	2	2	2	1	2	2	1	3
10002321	1	1	2	1	0	1	1	1	1	1	1	1	1	0	0	1	0	0	1	1	1	0	1	1	2	1	1	1	1
10002331	2	1	2	2	2	2	2	3	2	3	1	2	2	2	1	2	2	1	1	1	2	2	2	2	3	3	3	2	2
10002346	2	3	4	2	3	3	2	2	2	2	2	3	3	2	2	4	3	3	3	4	3	3	3	3	2	1	2	4	2
10002350	2	1	1	2	2	2	2	2	2	2	0	0	1	1	1	2	1	2	1	1	2	0	0	2	1	1	1	2	2
10002354	3	3	3	2	3	3	3	3	3	3	3	2	2	2	3	3	3	2	2	2	3	3	2	3	3	3	2	2	2
10002356	3	3	3	3	3	2	3	1	3	3	3	3	2	2	3	3	3	3	2	2	3	2	3	3	3	3	3	3	2
10002362	3	2	1	3	3	3	3	3	3	3	2	3	3	3	2	3	2	2	2	3	3	3	2	3	3	3	2	3	5
10002377	3	2	2	4	3	3	2	3	2	3	4	1	2	3	3	3	2	2	3	3	2	3	3	3	4	2	4	2	2
10002393	3	3	2	3	2	3	3	3	2	3	3	2	2	2	2	3	3	2	3	2	2	5	2	4	2	3	3	3	2
10002395	3	3	3	3	3	3	3	2	3	3	2	3	3	1	1	3	3	2	2	1	3	3	2	2	3	3	3	3	6
10002400	1	1	1	1	2	1	1	1	1	1	1	2	1	0	1	1	0	2	0	0	2	1	1	2	1	1	0	1	1
10002409	1	3	3	3	3	3	3	3	3	3	3	2	2	3	2	3	3	2	2	2	2	3	3	3	3	3	3	3	2
10002423	2	1	1	2	1	2	2	1	1	2	2	1	2	1	1	2	1	2	2	2	2	2	2	2	2	2	2	1	3
10002428	1	1	2	2	2	1	2	2	1	2	2	2	2	1	1	1	1	1	1	2	2	3	1	2	2	1	2	1	3
10002432	3	1	3	3	3	3	3	3	3	3	3	1	3	2	2	3	3	3	3	1	2	3	3	3	3	3	2	3	3
10002435	1	2	2	2	3	2	2	2	2	2	3	2	2	2	2	1	0	2	2	1	1	2	1	1	1	1	2	1	1
10002437	2	1	1	2	2	2	2	1	2	2	1	1	2	0	1	2	2	2	2	1	2	2	1	0	1	2	1	0	2
10002445	3	3	2	3	1	3	3	2	3	4	3	2	2	3	3	4	3	3	1	3	2	3	3	2	3	3	3	2	3
10002458	1	0	1	1	1	1	0	0	2	1	0	0	2	0	0	1	1	0	0	0	2	1	0	0	0	2	0	1	2
10002459	1	2	0	0	1	2	1	2	1	2	1	1	0	1	1	2	1	2	1	1	1	2	2	2	0	2	2	2	2
10002465	3	2	2	3	2	3	3	3	3	3	3	2	2	2	3	3	3	3	2	2	3	3	3	2	2	3	2	3	2
10002467	3	2	2	3	1	2	3	3	3	3	3	3	3	1	2	3	2	3	2	2	3	2	3	3	3	3	3	2	2
10002484	1	1	1	1	2	1	1	1	2	2	1	2	1	0	0	2	2	0	1	1	0	1	1	1	1	2	1	2	1
10002488	2	1	1	1	1	2	2	1	2	1	2	0	2	2	2	1	1	1	1	1	1	2	2	1	0	2	2	2	2
10002492	2	2	2	2	2	2	3	3	2	3	4	2	2	3	1	5	4	2	2	4	3	3	3	4	2	2	2	4	2
10002496	2	2	2	3	2	3	3	3	4	3	1	3	2	3	2	3	2	3	3	2	3	3	3	3	3	3	3	3	2
10002500	1	1	8	2	2	2	3	2	3	3	2	5	2	1	1	2	2	2	1	3	2	2	3	4	1	3	2	6	2
10002517	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	2	2	1
10002522	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	1	0	1	2	2	1	2	2	2	2	2	2	2	3
10002551	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	2
10002552	1	1	1	1	2	2	2	2	2	2	1	2	2	1	1	1	0	1	2	2	2	1	0	2	2	2	2	2	2
10002557	0	0	0	0	0	0	1	1	0	0	2	0	1	1	0	0	0	1	1	2	0	2	2	1	2	1	2	1	1
10002573	2	1	2	2	2	2	2	2	2	2	2	1	0	1	2	1	1	2	2	2	2	2	2	0	1	2	2	2	2
10002576	1	3	2	3	3	3	3	3	2	3	3	2	2	3	2	3	1	2	2	2	2	3	3	2	3	2	3	2	3
10002580	1	3	3	3	2	2	3	3	3	3	1	3	2	3	3	3	2	2	4	3	3	3	4	3	1	2	2	3	3
10002590	1	3	1	2	0	0	2	2	2	2	1	2	1	1	1	2	2	1	1	3	2	1	2	2	1	1	2	0	4
10002592	0	0	0	0	0	0	0	0	0	0	0	0	1	3	3	0	0	3	3	0	0	0	0	2	0	0	0	0	1
10002599	2	2	3	2	3	2	3	3	3	2	3	3	3	1	2	2	2	2	2	2	3	2	3	4	3	2	4	3	2
10002606	2	3	2	3	2	3	3	3	2	4	3	2	2	3	3	2	2	3	3	3	2	3	3	2	3	2	2	2	2
10002607	2	3	2	2	2	4	3	3	2	3	2	2	2	3	4	2	2	2	5	2	2	2	3	3	4	2	2	2	2
10002610	3	3	2	2	4	3	2	1	1	4	3	3	2	4	2	3	2	3	3	3	3	5	3	2	2	1	1	3	3
10002639	3	3	1	3	3	2	3	1	2	3	4	5	3	2	1	5	4	2	2	3	4	4	3	2	2	2	2	2	3
10002640	2	2	3	3	2	2	3	2	3	3	3	2	3	1	3	2	2	3	3	3	3	3	2	2	3	2	3	3	2
10002641	2	3	2	3	2	3	3	3	2	3	3	2	2	3	3	3	3	2	2	2	2	3	3	3	3	3	3	2	2
10002660	4	3	2	3	3	3	3	2	3	3	2	2	3	3	2	3	2	2	1	2	2	3	4	2	3	3	3	3	2
10002665	2	3	2	2	3	3	4	4	2	2	3	2	2	2	2	2	2	3	3	3	2	2	4	1	3	2	3	3	2
10002667	3	3	3	3	3	2	3	1	3	3	2	3	2	1	2	3	3	3	3	3	3	3	3	3	2	3	2	3	2
10002673	2	2	2	2	1	3	3	2	3	3	4	2	2	2	3	3	1	2	3	3	2	3	3	3	3	2	3	2	3
10002674	3	3	2	2	2	3	1	3	2	2	2	2	3	4	3	3	2	2	4	2	3	3	2	1	3	3	3	1	2
10002687	3	2	4	1	2	2	2	2	4	2	4	4	3	1	2	1	2	2	2	1	4	1	1	5	2	1	2	3	3
10002697	3	1	2	3	3	3	3	2	3	3	3	3	3	2	1	3	3	3	2	3	2	3	1	3	3	3	2	3	2
10002700	2	1	1	2	0	0	1	1	1	2	1	2	2	1	0	0	0	1	1	1	2	1	1	2	0	2	2	2	2
10002708	1	1	0	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	2
10002711	2	2	2	2	2	3	4	3	2	2	5	2	2	2	2	2	2	2	2	2	2	2	3	5	4	2	3	2	2
10002714	2	2	2	2	1	2	2	3	2	2	1	2	0	3	2	2	2	3	1	1	2	2	2	1	2	2	2	2	2
10002723	2	2	2	3	5	2	3	3	2	3	2	2	1	2	2	4	4	2	2	2	2	4	3	3	2	2	2	2	2
10002729	3	3	2	3	3	3	2	2	2	3	3	2	3	2	3	3	3	2	2	2	2	3	3	3	2	2	3	3	2
10002737	0	0	1	0	1	0	0	2	1	0	1	2	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	1	1
10002744	3	2	2	3	2	3	3	2	3	3	3	3	2	2	2	3	3	3	2	2	2	3	3	3	3	3	2	1	2
10002746	3	3	3	3	2	3	3	1	3	3	1	3	2	1	3	3	1	2	3	2	2	3	3	3	3	3	3	3	2
10002749	2	1	2	1	1	2	2	1	2	2	1	2	2	2	0	2	2	1	1	0	1	2	1	1	1	2	2	1	2
10002751	2	1	1	1	0	2	2	0	2	2	1	0	0	0	0	1	1	1	0	1	2	0	2	2	1	1	2	1	2
10002758	2	2	1	1	1	2	1	2	2	1	2	1	2	2	1	2	1	1	0	2	2	1	2	2	2	2	0	1	3
10002761	2	2	2	2	2	2	2	2	2	2	2	2	2	1	0	2	1	2	2	2	2	2	2	1	2	1	2	2	2
10002769	1	1	3	2	1	1	2	2	2	2	2	3	1	1	1	2	2	2	1	2	1	1	2	2	1	2	1	2	2
10002773	2	2	1	2	1	2	2	1	2	2	1	2	1	1	1	2	1	2	2	2	1	2	2	2	2	1	2	1	2
10002774	3	2	3	3	1	3	3	2	3	3	3	3	1	3	3	3	1	2	1	2	3	3	2	1	2	3	3	2	2
10002783	0	0	2	1	1	0	0	0	0	1	1	1	2	2	0	1	3	1	1	1	2	2	1	0	1	0	1	1	1
10002785	3	2	2	2	2	2	3	2	2	3	3	2	2	3	3	3	3	2	1	2	2	2	3	4	3	2	3	2	3
10002786	3	3	2	3	2	2	3	3	3	3	3	2	2	2	2	2	2	2	2	2	3	3	3	3	2	3	4	2	3
10002788	1	2	2	2	2	2	4	3	2	2	4	2	2	2	2	2	2	2	2	2	2	2	5	3	3	2	6	2	3
10002804	2	1	2	2	2	1	2	0	2	2	1	2	1	0	2	1	0	1	2	0	2	2	2	1	1	2	0	2	2
10002806	2	2	2	1	2	2	3	3	2	2	5	2	2	1	2	3	2	3	2	2	2	2	6	6	4	2	2	3	2
10002811	3	3	2	3	2	3	3	2	3	3	3	3	2	2	2	2	2	2	2	3	2	2	3	2	3	3	3	3	2
10002812	0	2	2	1	2	2	2	0	2	2	2	2	0	1	2	1	2	2	2	1	2	2	2	2	2	2	1	2	2
10002813	0	0	1	2	1	0	1	0	1	1	1	0	1	0	0	2	1	0	0	0	1	1	0	0	0	0	0	1	3
10002816	3	2	3	3	2	3	2	2	3	3	2	2	1	2	3	3	2	1	3	2	2	3	1	2	3	3	2	3	3
10002817	2	2	4	2	5	2	2	2	3	2	2	6	3	2	2	2	2	2	2	2	4	2	2	2	2	2	2	3	3
10002822	6	2	1	1	3	3	3	4	2	2	3	3	2	0	0	2	2	1	0	2	3	3	2	5	4	4	3	2	2
10002825	3	3	2	3	2	3	3	2	3	3	2	2	2	2	2	2	1	3	3	3	2	2	3	3	2	3	2	2	2
10002831	3	3	2	2	2	3	3	2	2	2	2	2	4	2	2	2	1	4	2	3	3	2	3	4	4	2	3	2	2
10002836	2	1	1	1	2	1	2	0	2	1	1	2	1	0	0	2	2	0	2	1	1	0	2	2	2	2	2	1	1
