        Expansions      Genes Gained    Equal   Contractions    Genes Lost      Families Lost   Average Expansion       Sig Expansions  Sig Contractions        Total Sig Changes
FRAX08<12>      125     137     6128    1899    1935    1746    -0.220559       55      27      82
<33>    7       7       7819    326     326     299     -0.0391315      4       253     257
FRAX25<26>      98      107     5985    2069    2108    1894    -0.245461       43      24      67
<25>    7       7       7826    319     319     275     -0.0382728      5       210     215
<19>    18      18      7970    164     164     133     -0.0179097      15      100     115
<21>    27      28      7958    167     169     138     -0.0172964      15      2       17
<27>    0       0       7853    299     299     272     -0.0366781      0       82      82
<31>    24      28      7486    642     646     569     -0.0758096      12      380     392
<23>    12      13      7648    492     492     481     -0.0587586      9       418     427
FRAX15<18>      86      90      6770    1296    1317    1195    -0.150515       39      18      57
<35>    22      22      7978    152     154     125     -0.0161923      13      2       15
<37>    18      18      7803    331     336     284     -0.0390088      8       229     237
empty<58>       0       0       0       8152    9754    8152    -1.19652        0       0       0
FRAX32<2>       94      99      7432    626     634     549     -0.0656281      63      347     410
FRAX21<28>      89      96      5756    2307    2350    2100    -0.276497       47      31      78
FRAX33<52>      103     113     6674    1375    1397    1260    -0.157507       50      17      67
Oeuropea<56>    346     383     6711    1095    1185    688     -0.0983808      5       5       10
FRAX26<46>      104     111     7580    468     476     413     -0.0447743      63      257     320
<5>     27      27      7776    349     349     296     -0.0394995      18      0       18
FRAX16<16>      68      74      6874    1210    1229    1100    -0.141683       49      588     637
<3>     29      31      7938    185     185     148     -0.0188911      20      111     131
<47>    18      18      7427    707     710     652     -0.0848871      13      553     566
FRAX23<24>      53      56      6807    1292    1309    1151    -0.153705       31      12      43
FRAX31<54>      17      17      5147    2988    3095    1905    -0.377576       0       6       6
<11>    23      24      7721    408     408     385     -0.047105       14      282     296
FRAX01<14>      93      96      7458    601     611     539     -0.0631747      62      294     356
FRAX09<42>      157     160     7595    400     416     331     -0.0314033      97      269     366
FRAX19<30>      187     206     7486    479     483     424     -0.0339794      64      3       67
<13>    11      12      8048    93      93      61      -0.00993621     9       0       9
FRAX12<6>       112     122     6548    1492    1519    1371    -0.171369       65      19      84
<49>    42      49      7954    156     156     125     -0.0131256      31      62      93
<17>    31      33      7624    497     498     455     -0.0570412      28      354     382
<43>    20      21      7985    147     147     129     -0.0154563      14      100     114
<15>    11      13      7855    286     287     245     -0.0336114      7       1       8
<41>    17      18      7950    185     187     152     -0.0207311      13      152     165
FRAX14<48>      57      60      7097    998     1019    893     -0.11764        37      511     548
FRAX29<10>      208     225     6667    1277    1295    1180    -0.131256       76      16      92
<9>     24      25      7727    401     401     369     -0.0461237      19      332     351
FRAX07<8>       138     143     7450    564     574     455     -0.0528705      66      7       73
FRAX00<20>      260     282     7165    727     755     598     -0.0580226      112     12      124
FRAX05<50>      186     196     6474    1492    1503    1390    -0.160329       84      11      95
FRAX20<32>      103     105     6591    1458    1490    1335    -0.169897       53      25      78
<45>    21      22      8052    79      80      51      -0.00711482     18      1       19
<55>    0       0       8149    3       3       0       -0.000368008    0       0       0
FRAX30<0>       106     115     7332    714     727     628     -0.0750736      73      370     443
<53>    0       0       8139    13      13      0       -0.0015947      0       0       0
FRAX27<36>      79      86      7242    831     840     745     -0.0924926      40      9       49
<51>    24      25      7819    309     310     271     -0.0349607      13      118     131
FRAX04<38>      64      66      6846    1242    1260    1128    -0.146467       33      14      47
FRAX13<44>      101     108     6683    1368    1382    1263    -0.156281       64      872     936
<1>     28      30      7767    357     364     312     -0.0409715      17      267     284
FRAX03<40>      99      109     6761    1292    1320    1201    -0.148553       63      880     943
FRAX11<34>      108     110     7670    374     384     312     -0.0336114      63      8       71
<7>     42      43      8040    70      70      57      -0.00331207     29      0       29
<29>    1       2       6927    1224    1235    232     -0.151251       1       0       1
FRAX28<4>       108     112     7065    979     988     880     -0.107458       60      9       69
FRAX06<22>      104     115     7514    534     553     440     -0.0537291      56      12      68
<39>    20      21      7703    429     429     344     -0.0500491      10      0       10

CAFE labeled tree:      (((((((((((FRAX30<0>,FRAX32<2>)<1>,FRAX28<4>)<3>,FRAX12<6>)<5>,(FRAX07<8>,FRAX29<10>)<9>)<7>,FRAX08<12>)<11>,(((((FRAX01<14>,FRAX16<16>)<15>,FRAX15<18>)<17>,FRAX00<20>)<19>,(FRAX06<22>,FRAX23<24>)<23>)<21>,FRAX25<26>)<25>)<13>,FRAX21<28>)<27>,(((FRAX19<30>,FRAX20<32>)<31>,((FRAX11<34>,FRAX27<36>)<35>,FRAX04<38>)<37>)<33>,(((((FRAX03<40>,FRAX09<42>)<41>,FRAX13<44>)<43>,(FRAX26<46>,FRAX14<48>)<47>)<45>,FRAX05<50>)<49>,FRAX33<52>)<51>)<39>)<29>,FRAX31<54>)<53>,Oeuropea<56>)<55>,empty<58>)<57>
